director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Cedric Nicolas-Troyan,Chris Hemsworth,Sam Claflin,Charlize Theron,Action Adventure Drama Fantasy,the huntsman: winter's war
Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,Action Adventure Comedy Sci-Fi,teenage mutant ninja turtles
Alfonso Cuarón,Phaldut Sharma,Basher Savage,Amy Warren,Adventure Drama Sci-Fi Thriller,gravity
Roger Donaldson,Jamie Renée Smith,Grant Heslov,Tzi Ma,Action Adventure Thriller,dante's peak
Dave Green,Stephen Amell,Noel Fisher,Brad Garrett,Action Adventure Comedy Sci-Fi,teenage mutant ninja turtles: out of the shadows
Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Action Adventure Sci-Fi,fantastic four
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Action Adventure Comedy Family Fantasy,night at the museum
Brad Peyton,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,Action Adventure Drama Thriller,san andreas
Roger Spottiswoode,Vincent Schiavelli,Colin Salmon,Joe Don Baker,Action Adventure Thriller,tomorrow never dies
Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,Action Drama History War,the patriot
Steven Soderbergh,Brad Pitt,Julia Roberts,Mini Anden,Crime Thriller,ocean's twelve
Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Action Comedy Crime Romance Thriller,mr. & mrs. smith
Robert Schwentke,Kate Winslet,Theo James,Mekhi Phifer,Adventure Sci-Fi Thriller,insurgent
Martin Scorsese,Leonardo DiCaprio,Adam Scott,Frances Conroy,Biography Drama,the aviator
Rob Letterman,James Corden,Catherine Tate,Olly Alexander,Adventure Comedy Family Fantasy,gulliver's travels
Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Action Comedy Crime Sci-Fi Thriller,the green hornet
unknown,George Peppard,Dirk Benedict,Dwight Schultz,Action Adventure Crime,the a-team            
Noam Murro,Eva Green,Sullivan Stapleton,Peter Mensah,Action Drama Fantasy War,300: rise of an empire
Raja Gosnell,Mahadeo Shivraj,Tim Gunn,Madison McKinley,Adventure Animation Comedy Family Fantasy,the smurfs
Will Finn,Steve Buscemi,Roseanne Barr,G.W. Bailey,Animation Comedy Family Music Western,home on the range
Robert Schwentke,Naomi Watts,Theo James,Zoë Kravitz,Action Adventure Mystery Sci-Fi Thriller,allegiant
Shawn Levy,Hugh Jackman,Torey Michael Adkins,Olga Fonda,Action Drama Sci-Fi Sport,real steel
Raja Gosnell,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui,Adventure Animation Comedy Family Fantasy,the smurfs 2
Jan de Bont,Jason Patric,Temuera Morrison,Lois Chiles,Action Crime Romance Thriller,speed 2: cruise control
Gavin Hood,Harrison Ford,Moises Arias,Aramis Knight,Action Sci-Fi,ender's game
Len Wiseman,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,Action Adventure Thriller,live free or die hard
Peter Jackson,Christopher Lee,Orlando Bloom,Billy Boyd,Action Adventure Drama Fantasy,the lord of the rings: the fellowship of the ring
Frank Coraci,Jim Broadbent,Steve Coogan,Cécile De France,Action Adventure Comedy,around the world in 80 days
Michael Mann,Will Smith,Jada Pinkett Smith,Joe Morton,Biography Drama Sport,ali
Bo Welch,Sean Hayes,Kelly Preston,Spencer Breslin,Adventure Comedy Family Fantasy,the cat in the hat
Alex Proyas,Will Smith,Bruce Greenwood,Chi McBride,Action Mystery Sci-Fi Thriller,"i, robot"
Ridley Scott,Liam Neeson,Orlando Bloom,Philip Glenister,Action Adventure Drama History War,kingdom of heaven
Rob Minkoff,Chazz Palminteri,Nathan Lane,Jeffrey Jones,Adventure Comedy Family Fantasy,stuart little
Ron Clements,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose,Animation Family Fantasy Musical Romance,the princess and the frog
Ridley Scott,Matt Damon,Donald Glover,Benedict Wong,Adventure Drama Sci-Fi,the martian
Christopher Barnard,Mathew Buck,unknown,unknown,Comedy,"10,000 b.c.            "
Michael Bay,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,Action Adventure Romance Sci-Fi Thriller,the island
Peter Chelsom,Del Zamora,Warren Beatty,Garry Shandling,Comedy Romance,town & country
Dominic Sena,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,Action Crime Thriller,gone in sixty seconds
Ridley Scott,Djimon Hounsou,Connie Nielsen,Oliver Reed,Action Drama Romance,gladiator
Steven Spielberg,Tom Cruise,Frank Grillo,Jessica Capshaw,Action Mystery Sci-Fi Thriller,minority report
Chris Columbus,Daniel Radcliffe,Rupert Grint,Emma Watson,Adventure Family Fantasy Mystery,harry potter and the chamber of secrets
Martin Campbell,Eva Green,Tobias Menzies,Ivana Milicevic,Action Adventure Thriller,casino royale
Tim Burton,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,Action Adventure Sci-Fi Thriller,planet of the apes
James Cameron,Joe Morton,Jenette Goldstein,S. Epatha Merkerson,Action Sci-Fi,terminator 2: judgment day
Michael Mann,Johnny Depp,Christian Bale,Stephen Graham,Biography Crime Drama History Romance,public enemies
Ridley Scott,Denzel Washington,Ruby Dee,RZA,Biography Crime Drama,american gangster
James Cameron,Jamie Lee Curtis,Tia Carrere,Tom Arnold,Action Comedy Thriller,true lies
Tony Scott,Denzel Washington,Ramon Rodriguez,Michael Rispoli,Action Crime Thriller,the taking of pelham 1 2 3
Paul Weitz,Robert De Niro,Blythe Danner,Teri Polo,Comedy Romance,little fockers
Adam McKay,Dwayne Johnson,Will Ferrell,Derek Jeter,Action Comedy Crime,the other guys
Chuck Russell,Vanessa Williams,James Coburn,Roma Maffia,Action Drama Mystery Thriller,eraser
Quentin Tarantino,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,Drama Western,django unchained
Gary Trousdale,Demi Moore,Jason Alexander,Bill Fagerbakke,Animation Drama Family Musical Romance,the hunchback of notre dame
Mark Dindal,Eartha Kitt,Wendie Malick,John Fiedler,Adventure Animation Comedy Family Fantasy,the emperor's new groove
Simon West,Jason Statham,Sylvester Stallone,Bruce Willis,Action Adventure Thriller,the expendables 2
Jon Turteltaub,Nicolas Cage,Armando Riesco,Annie Parisse,Action Adventure Comedy Family Mystery,national treasure
Stefen Fangmeier,Djimon Hounsou,Ed Speleers,Gary Lewis,Action Adventure Family Fantasy,eragon
Spike Jonze,Catherine O'Hara,Ryan Corr,Max Records,Adventure Drama Family Fantasy,where the wild things are
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy,pan
Chris Wedge,Josh Hutcherson,Emma Kenney,Troy Evans,Adventure Animation Family Fantasy,epic
Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,Action Romance Thriller,the tourist
Peter Hyams,CCH Pounder,Mark Margolis,Udo Kier,Action Fantasy Horror Mystery,end of days
Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Stephen Collins,Adventure Drama Thriller,blood diamond
Martin Scorsese,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,Biography Comedy Crime Drama,the wolf of wall street
Joel Schumacher,Michael Gough,Rene Auberjonois,Debi Mazar,Action Adventure Fantasy,batman forever
Paul Verhoeven,Jake Busey,Patrick Muldoon,Seth Gilliam,Action Sci-Fi War,starship troopers
Tom Tykwer,Tom Hanks,Jim Sturgess,Jim Broadbent,Drama Sci-Fi,cloud atlas
Zack Snyder,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia,Action Adventure Animation Family Fantasy,legend of the guardians: the owls of ga'hoole
Pitof,Frances Conroy,Christopher Heyerdahl,Alex Borstein,Action Crime Fantasy Romance Thriller,catwoman
Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,Action Adventure,hercules
Ron Clements,Joseph Gordon-Levitt,Martin Short,Michael Wincott,Adventure Animation Family Sci-Fi,treasure planet
Brad Silberling,Will Ferrell,Anna Friel,Bobb'e J. Thompson,Adventure Comedy Sci-Fi,land of the lost
Patrick Hughes,Jason Statham,Sylvester Stallone,Harrison Ford,Action Adventure Thriller,the expendables 3
Ericson Core,Ray Winstone,Edgar Ramírez,Delroy Lindo,Action Crime Sport Thriller,point break
Lawrence Guterman,Jamie Kennedy,Traylor Howard,Ben Stein,Comedy Family Fantasy,son of the mask
Ron Howard,Chris Hemsworth,Benjamin Walker,Frank Dillane,Action Adventure Biography Drama History Thriller,in the heart of the sea
Ron Underwood,Rosario Dawson,Randy Quaid,Burt Young,Action Comedy Sci-Fi,the adventures of pluto nash
Paul Greengrass,Matt Damon,Sean Huze,Igal Naor,Action Drama Thriller War,green zone
Steve Martino,Francesca Capaldi,Venus Schultheis,Bill Melendez,Adventure Animation Comedy Family,the peanuts movie
David Mamet,Ben Gazzara,Felicity Huffman,Campbell Scott,Drama Mystery Thriller,the spanish prisoner
Stephen Sommers,Dwayne Johnson,Brendan Fraser,Patricia Velasquez,Action Adventure Fantasy Thriller,the mummy returns
Martin Scorsese,Leonardo DiCaprio,Liam Neeson,Jim Broadbent,Crime Drama,gangs of new york
Yimou Zhang,Christian Bale,Ni Ni,Shigeo Kobayashi,Drama History Romance War,the flowers of war
Ash Brannon,Jeff Bridges,Zooey Deschanel,Jon Heder,Animation Comedy Family Sport,surf's up
Frank Oz,Jon Lovitz,Matthew Broderick,Roger Bart,Comedy Sci-Fi Thriller,the stepford wives
Ridley Scott,Ioan Gruffudd,Sam Shepard,Ewen Bremner,Drama History War,black hawk down
Jay Roach,Will Ferrell,Thomas Middleditch,Katherine LaNasa,Comedy,the campaign
Luc Besson,Milla Jovovich,Bruce Willis,Gary Oldman,Action Adventure Sci-Fi,the fifth element
Michael Patrick King,Chris Noth,Liza Minnelli,Kristin Davis,Comedy Drama Romance,sex and the city 2
Bibo Bergeron,Frank Welker,Rosie Perez,Elton John,Adventure Animation Comedy Family Romance,the road to el dorado
Steve Martino,Peter Dinklage,Josh Gad,Drake,Adventure Animation Comedy Family,ice age: continental drift
Kenneth Branagh,Hayley Atwell,Derek Jacobi,Lily James,Drama Family Fantasy Romance,cinderella
Peter Jackson,Michael Imperioli,AJ Michalka,Tom McCarthy,Drama Fantasy Thriller,the lovely bones
Andrew Stanton,Alexander Gould,Stephen Root,Brad Garrett,Adventure Animation Comedy Family,finding nemo
Peter Jackson,Orlando Bloom,Billy Boyd,Bernard Hill,Action Adventure Drama Fantasy,the lord of the rings: the return of the king
Peter Jackson,Christopher Lee,Orlando Bloom,Billy Boyd,Action Adventure Drama Fantasy,the lord of the rings: the two towers
Sergey Bodrov,Jeff Bridges,Djimon Hounsou,Olivia Williams,Action Adventure Fantasy,seventh son
Simon West,Angelina Jolie Pitt,Noah Taylor,Chris Barrie,Action Adventure Fantasy Thriller,lara croft: tomb raider
Wally Pfister,Johnny Depp,Morgan Freeman,Clifton Collins Jr.,Drama Mystery Romance Sci-Fi Thriller,transcendence
Joe Johnston,Michael Jeter,Trevor Morgan,Alessandro Nivola,Action Adventure Sci-Fi Thriller,jurassic park iii
Rupert Wyatt,James Franco,David Oyelowo,Tyler Labine,Action Drama Sci-Fi Thriller,rise of the planet of the apes
Mark Waters,Martin Short,Tod Fennell,Joan Plowright,Adventure Family Fantasy,the spiderwick chronicles
John Moore,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,Action Thriller,a good day to die hard
John Lee Hancock,Dennis Quaid,Marc Blucas,Jordi Mollà,Drama History War Western,the alamo
Brad Bird,Holly Hunter,Craig T. Nelson,Lou Romano,Action Adventure Animation Family,the incredibles
Renny Harlin,Christopher Masterson,Frank Langella,Matthew Modine,Action Adventure Comedy,cutthroat island
Chris Columbus,Logan Lerman,Rosario Dawson,Steve Coogan,Adventure Family Fantasy,percy jackson & the olympians: the lightning thief
Barry Sonnenfeld,Will Smith,Rip Torn,Linda Fiorentino,Adventure Comedy Family Mystery Sci-Fi,men in black
John Lasseter,Tom Hanks,John Ratzenberger,Wayne Knight,Adventure Animation Comedy Family Fantasy,toy story 2
Tony Scott,Denzel Washington,Rosario Dawson,Ethan Suplee,Action Thriller,unstoppable
Brett Ratner,Mei Melançon,John Lone,Harris Yulin,Action Comedy Crime Thriller,rush hour 2
Robert Zemeckis,Harrison Ford,Amber Valletta,Miranda Otto,Drama Fantasy Horror Mystery Thriller,what lies beneath
Phil Lord,Will Forte,Bobb'e J. Thompson,Al Roker,Animation Comedy Family Sci-Fi,cloudy with a chance of meatballs
Carlos Saldanha,Denis Leary,Maile Flanagan,Kelly Keaton,Action Adventure Animation Comedy Family,ice age: dawn of the dinosaurs
Ben Stiller,Adam Scott,Adrian Martinez,Joey Slotnick,Adventure Comedy Drama Fantasy Romance,the secret life of walter mitty
McG,Bill Murray,LL Cool J,Kelly Lynch,Action Adventure Comedy Crime Thriller,charlie's angels
Martin Scorsese,Leonardo DiCaprio,Matt Damon,Ray Winstone,Crime Drama Thriller,the departed
Tony Bancroft,Ming-Na Wen,Harvey Fierstein,June Foray,Adventure Animation Family Fantasy Musical War,mulan
Ben Stiller,Robert Downey Jr.,Steve Coogan,Brandon T. Jackson,Action Comedy,tropic thunder
David Fincher,Robin Wright,Goran Visnjic,Joely Richardson,Crime Drama Mystery Thriller,the girl with the dragon tattoo
John McTiernan,Bruce Willis,Aldis Hodge,Kevin Chamberlin,Action Adventure Thriller,die hard with a vengeance
Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Robert Maillet,Action Adventure Crime Mystery Thriller,sherlock holmes
Timur Bekmambetov,Morgan Freeman,Ayelet Zurer,Moises Arias,Adventure Drama History,ben-hur
Gary Trousdale,Leonard Nimoy,Jim Varney,Cree Summer,Action Adventure Animation Family Fantasy Sci-Fi,atlantis: the lost empire
Walt Becker,Bella Thorne,Joshua Mikel,Jesse McCartney,Adventure Animation Comedy Family Fantasy Music,alvin and the chipmunks: the road chip
Bryan Singer,Tom Cruise,Tom Wilkinson,Thomas Kretschmann,Drama History Thriller War,valkyrie
Dennis Dugan,Adam Sandler,Sayed Badreya,Kevin Nealon,Action Comedy,you don't mess with the zohan
Chris Columbus,Peter Dinklage,Adam Sandler,Josh Gad,Action Animation Comedy Sci-Fi,pixels
Steven Spielberg,Haley Joel Osment,William Hurt,Kevin Sussman,Adventure Drama Sci-Fi,a.i. artificial intelligence
Rob Minkoff,Marsha Thomason,Rachael Harris,Marc John Jefferies,Comedy Family Fantasy Horror Mystery,the haunted mansion
Robert Zemeckis,Matthew McConaughey,Tom Skerritt,Larry King,Drama Mystery Sci-Fi Thriller,contact
Paul Verhoeven,Greg Grunberg,Kim Dickens,Joey Slotnick,Action Horror Sci-Fi Thriller,hollow man
Sydney Pollack,Curtiss Cook,George Harris,Michael Wright,Crime Mystery Thriller,the interpreter
Thor Freudenthal,Logan Lerman,Leven Rambin,Brandon T. Jackson,Adventure Family Fantasy,percy jackson: sea of monsters
Jan de Bont,Gerard Butler,Angelina Jolie Pitt,Djimon Hounsou,Action Adventure Fantasy,lara croft tomb raider: the cradle of life
Jon M. Chu,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,Action Adventure Comedy Crime Mystery Thriller,now you see me 2
Phillip Noyce,Alun Armstrong,Michael Byrne,Velibor Topic,Action Adventure Romance Sci-Fi Thriller,the saint
Tony Scott,Brad Pitt,Stephen Dillane,Catherine McCormack,Action Crime Thriller,spy game
Brian De Palma,Don Cheadle,Connie Nielsen,Kim Delaney,Adventure Sci-Fi Thriller,mission to mars
Carlos Saldanha,Anne Hathaway,Wanda Sykes,Will.i.am,Adventure Animation Comedy Family Musical,rio
Chris Columbus,Robin Williams,Oliver Platt,John Michael Higgins,Comedy Drama Sci-Fi,bicentennial man
Mick Jackson,Don Cheadle,Anne Heche,Gaby Hoffmann,Action Drama Sci-Fi Thriller,volcano
Alan J. Pakula,Harrison Ford,Brad Pitt,Natascha McElhone,Action Crime Drama Thriller,the devil's own
Kathryn Bigelow,Liam Neeson,Christian Camargo,Lex Shrapnel,Drama History Thriller War,k-19: the widowmaker
Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Action Adventure Sci-Fi,fantastic four
John Milius,William Smith,Mako,Sandahl Bergman,Adventure Fantasy,conan the barbarian
Ron Howard,Paddy Considine,Bruce McGill,Rosemarie DeWitt,Biography Drama Sport,cinderella man
Andrey Konchalovskiy,Shirley Henderson,Nathan Lane,Richard E. Grant,Action Family Fantasy Musical,the nutcracker in 3d
Gary Ross,Jeff Bridges,Michael Angarano,Michael O'Neill,Drama History Sport,seabiscuit
Jan de Bont,Philip Seymour Hoffman,Alan Ruck,Jami Gertz,Action Adventure Drama Thriller,twister
Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller,the fast and the furious
Robert Zemeckis,Tom Hanks,Paul Sanchez,Nick Searcy,Adventure Drama Romance,cast away
George Miller,Robin Williams,Hugh Jackman,Elizabeth Daily,Animation Comedy Family Music Romance,happy feet
Paul Greengrass,Matt Damon,Joan Allen,Oksana Akinshina,Action Mystery Thriller,the bourne supremacy
Wolfgang Petersen,Harrison Ford,Gary Oldman,Dean Stockwell,Action Adventure Drama Thriller,air force one
Steven Soderbergh,Brad Pitt,Bernie Mac,Elliott Gould,Crime Thriller,ocean's eleven
Paul W.S. Anderson,Milla Jovovich,Logan Lerman,Orlando Bloom,Action Adventure Romance,the three musketeers
Genndy Tartakovsky,Steve Buscemi,Adam Sandler,Jon Lovitz,Animation Comedy Family Fantasy,hotel transylvania
Kevin Lima,Jeff Bennett,Teala Dunn,Fred Tatasciore,Animation Comedy Family Fantasy Musical Romance,enchanted
unknown,Caroline Dhavernas,Scott Thompson,Hettienne Park,Crime Drama Horror Mystery Thriller,hannibal            
Daniel Espinosa,Denzel Washington,Ryan Reynolds,Sam Shepard,Action Crime Mystery Thriller,safe house
Kevin Lima,Ioan Gruffudd,Eric Idle,Jim Carter,Adventure Comedy Family,102 dalmatians
Brett Ratner,Matthew Broderick,Gabourey Sidibe,Judd Hirsch,Action Comedy Crime,tower heist
Nancy Meyers,Kate Winslet,Rufus Sewell,Sarah Parish,Comedy Romance,the holiday
Tony Scott,Will Smith,Jake Busey,Lisa Bonet,Action Crime Drama Mystery Thriller,enemy of the state
Nancy Meyers,Meryl Streep,Hunter Parrish,Zoe Kazan,Comedy Drama Romance,it's complicated
Steven Soderbergh,Al Pacino,Matt Damon,Brad Pitt,Crime Thriller,ocean's thirteen
Roger Allers,Jon Favreau,Debra Messing,Jane Krakowski,Adventure Animation Comedy Family,open season
Neil Burger,Kate Winslet,Theo James,Mekhi Phifer,Adventure Mystery Sci-Fi,divergent
Jean-Jacques Annaud,Bob Hoskins,Gabriel Thomson,Clemens Schick,Drama History War,enemy at the gates
Peter Berg,Dwayne Johnson,Rosario Dawson,Ewen Bremner,Action Adventure Comedy Thriller,the rundown
John McTiernan,F. Murray Abraham,Tom Noonan,Joan Plowright,Action Adventure Comedy Fantasy,last action hero
Rob Marshall,Li Gong,Mako,Karl Yune,Drama Romance,memoirs of a geisha
Justin Lin,Amber Stevens West,Zachery Ty Bryan,Nikki Griffin,Action Crime Thriller,the fast and the furious: tokyo drift
Sarah Smith,Jim Broadbent,Imelda Staunton,Michael Palin,Adventure Animation Comedy Family Fantasy,arthur christmas
Martin Brest,Anthony Hopkins,Brad Pitt,Jake Weber,Drama Fantasy Romance,meet joe black
Andrew Davis,Raymond Cruz,Rick Worthy,Jsu Garcia,Action Drama Thriller,collateral damage
Bob Fosse,Roy Scheider,Ben Vereen,Max Wright,Comedy Drama Music Musical,all that jazz
Tarsem Singh,Julia Roberts,Nathan Lane,Danny Woodburn,Adventure Comedy Drama Family Fantasy,mirror mirror
Edgar Wright,Anna Kendrick,Kieran Culkin,Ellen Wong,Action Comedy Fantasy Romance,scott pilgrim vs. the world
Jon Amiel,Glenn Morshower,Tchéky Karyo,Rekha Sharma,Action Adventure Sci-Fi Thriller,the core
Peter Segal,Larry Miller,Janet Jackson,Chris Elliott,Comedy Romance Sci-Fi,nutty professor ii: the klumps
Raja Gosnell,Sarah Michelle Gellar,Linda Cardellini,Miguel A. Núñez Jr.,Adventure Comedy Mystery,scooby-doo
Pete Travis,Wood Harris,Jason Cope,Rakie Ayola,Action Sci-Fi,dredd
Frank Coraci,Adam Sandler,Cameron Monaghan,Julie Kavner,Comedy Drama Fantasy Romance,click
George A. Romero,Ted Danson,Hal Holbrook,Adrienne Barbeau,Comedy Fantasy Horror,creepshow
Brad Peyton,Jack McBrayer,Sean Hayes,Katt Williams,Action Comedy Family Fantasy,cats & dogs: the revenge of kitty galore
Doug Liman,Kristen Stewart,Hayden Christensen,Tom Hulce,Action Adventure Sci-Fi Thriller,jumper
Guillermo del Toro,Seth MacFarlane,Iván Kamarás,Brian Steele,Action Adventure Fantasy Horror Sci-Fi,hellboy ii: the golden army
David Fincher,Robert Downey Jr.,Jake Gyllenhaal,Anthony Edwards,Crime Drama History Mystery Thriller,zodiac
Roger Spottiswoode,Robert Duvall,Michael Rapaport,Tony Goldwyn,Action Mystery Sci-Fi Thriller,the 6th day
Tom Shadyac,Morgan Freeman,Steve Carell,Lisa Ann Walter,Comedy Drama,bruce almighty
Sylvester Stallone,Jason Statham,Sylvester Stallone,Jet Li,Action Adventure Thriller,the expendables
Brian De Palma,Tom Cruise,Kristin Scott Thomas,Vanessa Redgrave,Action Adventure Thriller,mission: impossible
Gary Ross,Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds,Adventure Drama Sci-Fi Thriller,the hunger games
Todd Phillips,Bradley Cooper,Mason Lee,Mike Tyson,Comedy,the hangover part ii
Tim Burton,Michael Gough,Vincent Schiavelli,Andrew Bryniarski,Action,batman returns
Tim Johnson,Bruce Willis,Steve Carell,Catherine O'Hara,Adventure Animation Comedy Family,over the hedge
Dean DeBlois,Tia Carrere,Jason Scott Lee,David Ogden Stiers,Adventure Animation Comedy Drama Family Fantasy Sci-Fi,lilo & stitch
Gary Winick,Steve Buscemi,Julia Roberts,Oprah Winfrey,Comedy Family Fantasy,charlotte's web
Mimi Leder,Morgan Freeman,Jon Favreau,Robert Duvall,Action Drama Romance Sci-Fi Thriller,deep impact
Dean Parisot,Bruce Willis,Anthony Hopkins,Garrick Hagon,Action Comedy Crime Thriller,red 2
Peter Segal,Adam Sandler,Steve Reevis,Dalip Singh,Comedy Crime Sport,the longest yard
Mike Mitchell,Amy Poehler,Jesse McCartney,Lauren Gottlieb,Adventure Animation Comedy Family Fantasy Music,alvin and the chipmunks: chipwrecked
Dennis Dugan,Steve Buscemi,Adam Sandler,Jon Lovitz,Comedy,grown ups 2
Peter Segal,Bill Murray,Dwayne Johnson,Anne Hathaway,Action Adventure Comedy,get smart
Nancy Meyers,Keanu Reeves,Jon Favreau,Paul Michael Glaser,Comedy Drama Romance,something's gotta give
Martin Scorsese,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,Mystery Thriller,shutter island
Seth Gordon,Jon Favreau,Robert Duvall,Katy Mixon,Comedy Drama Romance,four christmases
Chris Wedge,Jim Broadbent,Drew Carey,Paula Abdul,Adventure Animation Comedy Family Sci-Fi,robots
John Woo,Nicolas Cage,CCH Pounder,Joan Allen,Action Crime Sci-Fi Thriller,face/off
Adam Shankman,Adam Sandler,Carmen Electra,Kathryn Joosten,Comedy Family Fantasy Romance,bedtime stories
Sam Mendes,Tom Hanks,Jennifer Jason Leigh,Liam Aiken,Crime Drama Thriller,road to perdition
Dennis Dugan,Adam Sandler,Bailee Madison,Kevin Nealon,Comedy Romance,just go with it
unknown,Elden Henson,Royce Johnson,Charlie Cox,Action Adventure Crime Drama Sci-Fi Thriller,daredevil            
Simon West,Steve Buscemi,Monica Potter,Dave Chappelle,Action Crime Thriller,con air
D.J. Caruso,Rosario Dawson,Ethan Embry,Cameron Boyce,Action Mystery Thriller,eagle eye
Anthony Minghella,Philip Seymour Hoffman,Natalie Portman,Charlie Hunnam,Adventure Drama History Romance War,cold mountain
Albert Hughes,Denzel Washington,Mila Kunis,Gary Oldman,Action Adventure Drama Thriller,the book of eli
Les Mayfield,Robin Williams,Jodi Benson,Sam Lloyd,Comedy Family Sci-Fi,flubber
Jan de Bont,Liam Neeson,Lili Taylor,Virginia Madsen,Fantasy Horror Mystery Thriller,the haunting
Joe Pytka,Bill Murray,Wayne Knight,Michael Jordan,Adventure Animation Comedy Family Fantasy Sci-Fi Sport,space jam
Shawn Levy,Roger Rees,Henry Czerny,William Abadie,Adventure Comedy Crime Family Mystery,the pink panther
Scott Derrickson,Keanu Reeves,Jon Hamm,Juan Riedinger,Drama Sci-Fi Thriller,the day the earth stood still
Richard Donner,Julia Roberts,Alex McArthur,Michael Potts,Action Crime Mystery Romance Thriller,conspiracy theory
David Ayer,Brad Pitt,Logan Lerman,Jim Parrack,Action Drama War,fury
Ivan Reitman,Harrison Ford,Anne Heche,Amy Sedaris,Action Adventure Comedy Romance,six days seven nights
Eric Brevig,Justin Timberlake,Tom Cavanagh,Josh Robert Thompson,Adventure Animation Comedy Family,yogi bear
Kelly Asbury,Matt Damon,Charles Napier,Zahn McClarnon,Adventure Animation Family Western,spirit: stallion of the cimarron
Frank Coraci,Rosario Dawson,Leslie Bibb,Nicholas Turturro,Comedy Family Romance,zookeeper
Stephen Hopkins,Gary Oldman,William Hurt,June Lockhart,Action Adventure Family Sci-Fi Thriller,lost in space
Jonathan Demme,Denzel Washington,Dorian Missick,Jose Pablo Cantillo,Drama Mystery Sci-Fi Thriller,the manchurian candidate
Henry Jaglom,Vanessa Redgrave,Stephen Dillane,Michael Brandon,Drama Romance,déjà vu
Genndy Tartakovsky,Steve Buscemi,Adam Sandler,Fran Drescher,Animation Comedy Family Fantasy,hotel transylvania 2
unknown,Elizabeth Montgomery,Agnes Moorehead,Dick York,Comedy Family Fantasy,bewitched            
James Algar,Quincy Jones,Penn Jillette,Russi Taylor,Animation Family Fantasy Music,fantasia 2000
Simon Wells,Mark Addy,Alan Young,Josh Stamberg,Action Adventure Sci-Fi,the time machine
Ron Underwood,Charlize Theron,Mika Boorem,David Paymer,Action Adventure Family Fantasy Thriller,mighty joe young
Dominic Sena,Hugh Jackman,Don Cheadle,Sam Shepard,Action Crime Thriller,swordfish
Martin Campbell,Michael Emerson,Nick Chinlund,Adrian Alonso,Action Adventure Western,the legend of zorro
Vincent Ward,Robin Williams,Annabella Sciorra,Rosalind Chao,Drama Fantasy Romance,what dreams may come
Steven Brill,Adam Sandler,Jon Lovitz,Michael McKean,Comedy Fantasy,little nicky
Terry Gilliam,Matt Damon,Heath Ledger,Mackenzie Crook,Action Adventure Comedy Fantasy Thriller,the brothers grimm
Tim Burton,Natalie Portman,Martin Short,Lukas Haas,Action Comedy Sci-Fi,mars attacks!
Lucile Hadzihalilovic,Nissim Renard,Roxane Duran,Julie-Marie Parmentier,Drama Horror Mystery Sci-Fi,evolution
Lee Tamahori,Anthony Hopkins,Harold Perrineau,Bart the Bear,Action Adventure Drama Thriller,the edge
Jonathan Mostow,Bruce Willis,Devin Ratray,Boris Kodjoe,Action Sci-Fi Thriller,surrogates
Roger Donaldson,Bruce Greenwood,Jon Foster,Bruce Thomas,Drama History Thriller,thirteen days
Rob Cohen,Sylvester Stallone,Viggo Mortensen,Amy Brenneman,Action Adventure Drama Thriller,daylight
Barry Cook,Charlie Rowe,Tiya Sircar,Madison Rothschild,Adventure Animation Family,walking with dinosaurs 3d
Roger Christian,Richard Tyson,Michael Byrne,John Topor,Action Adventure Sci-Fi,battlefield earth
Joe Dante,Brendan Fraser,Jenna Elfman,Heather Locklear,Adventure Animation Comedy Family Fantasy Sci-Fi,looney tunes: back in action
Rob Marshall,Fergie,Elio Germano,Andrea Di Stefano,Drama Musical Romance,nine
